"timestamp","value"
2021-01-26 21:00:00,61.05
2021-01-26 22:00:00,53
2021-01-26 23:00:00,50.96
2021-01-27 00:00:00,44.71
2021-01-27 01:00:00,46.23
2021-01-27 02:00:00,44.05
2021-01-27 03:00:00,42.92
2021-01-27 04:00:00,42.4
2021-01-27 05:00:00,43.25
2021-01-27 06:00:00,48.25
2021-01-27 07:00:00,55.3
2021-01-27 08:00:00,67.5
2021-01-27 09:00:00,71
2021-01-27 10:00:00,71
2021-01-27 11:00:00,69.98
2021-01-27 12:00:00,69.34
2021-01-27 13:00:00,67.48
2021-01-27 14:00:00,65.3
2021-01-27 15:00:00,64.99
2021-01-27 16:00:00,66.49
2021-01-27 17:00:00,68.49
2021-01-27 18:00:00,73.33
2021-01-27 19:00:00,71
2021-01-27 20:00:00,65.2
2021-01-27 21:00:00,61.82
2021-01-27 22:00:00,54.34
2021-01-27 23:00:00,53.94
2021-01-28 00:00:00,47.36
2021-01-28 01:00:00,44.91
2021-01-28 02:00:00,43.1
2021-01-28 03:00:00,41.41
2021-01-28 04:00:00,39.96
2021-01-28 05:00:00,41
2021-01-28 06:00:00,44.5
2021-01-28 07:00:00,51.54
2021-01-28 08:00:00,62.5
2021-01-28 09:00:00,64.9
2021-01-28 10:00:00,65.01
2021-01-28 11:00:00,64.05
2021-01-28 12:00:00,63.76
2021-01-28 13:00:00,62.78
2021-01-28 14:00:00,60.1
2021-01-28 15:00:00,58.7
2021-01-28 16:00:00,58.89
2021-01-28 17:00:00,61.45
2021-01-28 18:00:00,63.84
2021-01-28 19:00:00,64.36
2021-01-28 20:00:00,63
2021-01-28 21:00:00,57.43
2021-01-28 22:00:00,52.1
2021-01-28 23:00:00,49.9
2021-01-29 00:00:00,47.23
2021-01-29 01:00:00,43.89
2021-01-29 02:00:00,41.33
2021-01-29 03:00:00,39.04
2021-01-29 04:00:00,37.03
2021-01-29 05:00:00,38.07
2021-01-29 06:00:00,41.89
2021-01-29 07:00:00,49.17
2021-01-29 08:00:00,58.17
2021-01-29 09:00:00,63.36
2021-01-29 10:00:00,65.99
2021-01-29 11:00:00,65
2021-01-29 12:00:00,62.43
2021-01-29 13:00:00,57.4
2021-01-29 14:00:00,56.29
2021-01-29 15:00:00,53.93
2021-01-29 16:00:00,53.08
2021-01-29 17:00:00,57.7
2021-01-29 18:00:00,60.33
2021-01-29 19:00:00,60
2021-01-29 20:00:00,58
2021-01-29 21:00:00,51.22
2021-01-29 22:00:00,47.31
2021-01-29 23:00:00,45.3
2021-01-30 00:00:00,41.14
2021-01-30 01:00:00,38.7
2021-01-30 02:00:00,35.77
2021-01-30 03:00:00,34.71
2021-01-30 04:00:00,33.35
2021-01-30 05:00:00,32.94
2021-01-30 06:00:00,34.7
2021-01-30 07:00:00,37.45
2021-01-30 08:00:00,41.81
2021-01-30 09:00:00,47.02
2021-01-30 10:00:00,52.26
2021-01-30 11:00:00,54.14
2021-01-30 12:00:00,54.39
2021-01-30 13:00:00,52.94
2021-01-30 14:00:00,49.75
2021-01-30 15:00:00,48.23
2021-01-30 16:00:00,49.82
2021-01-30 17:00:00,53.53
2021-01-30 18:00:00,58.55
2021-01-30 19:00:00,59.55
2021-01-30 20:00:00,56.3
2021-01-30 21:00:00,50.96
2021-01-30 22:00:00,46.08
2021-01-30 23:00:00,44.58
2021-01-31 00:00:00,40.49
2021-01-31 01:00:00,40.75
2021-01-31 02:00:00,39
2021-01-31 03:00:00,39
2021-01-31 04:00:00,39.12
2021-01-31 05:00:00,37.25
2021-01-31 06:00:00,36.98
2021-01-31 07:00:00,36.77
2021-01-31 08:00:00,38.73
2021-01-31 09:00:00,42.45
2021-01-31 10:00:00,45.94
2021-01-31 11:00:00,47.27
2021-01-31 12:00:00,48.52
2021-01-31 13:00:00,46.16
2021-01-31 14:00:00,43
2021-01-31 15:00:00,42.88
2021-01-31 16:00:00,44.49
2021-01-31 17:00:00,49.98
2021-01-31 18:00:00,58.4
2021-01-31 19:00:00,61
2021-01-31 20:00:00,58.33
2021-01-31 21:00:00,54.84
2021-01-31 22:00:00,49.71
2021-01-31 23:00:00,48.54
2021-02-01 00:00:00,44.23
2021-02-01 01:00:00,41
2021-02-01 02:00:00,40.56
2021-02-01 03:00:00,39.8
